subject,condition,source_rank,local_error,paper_error,abs_diff_error,local_RT,paper_RT,abs_diff_RT,n_class,n_valid_RT,n_validRT_unusable,n_unusable,n_trimmed_RT,n_small_before_kept,n_close_time_boundary_10ms,n_close_size_boundary_0p9_1p1pct,mean_error_current,mean_error_exclude_unusable,mean_RT_current,mean_RT_exclude_unusable
s04,away,error_rank_1,16.4525547445255,14.7132867132867,1.73926803123885,814.861313868613,806.629370629371,8.23194323924213,150,137,3,3,13,0,13,8,16.4525547445255,16.5820895522388,814.861313868613,811.029850746269
s16,away,error_rank_2,16.4715447154472,18.2098765432099,1.73833182776275,586.341463414634,588.179012345679,1.83754893104481,129,123,1,1,6,0,5,13,16.4715447154472,16.5819672131148,586.341463414634,586.450819672131
s10,away,error_rank_3,12.4869565217391,14.1913043478261,1.70434782608697,766.730434782609,771.139130434783,4.4086956521744,117,115,1,1,2,0,3,18,12.4869565217391,12.4385964912281,766.730434782609,764.280701754386
s12,no,error_rank_4,13.7782608695652,15.3318777292576,1.55361685969238,542.4,562.414847161572,20.014847161572,243,230,6,18,13,0,0,0,13.7782608695652,13.5848214285714,542.4,534.830357142857
s02,no,error_rank_5,14.6036036036036,15.9181818181818,1.3145782145782,439.77027027027,438.213636363636,1.55663390663426,229,222,20,25,7,0,0,0,14.6036036036036,14.1485148514851,439.77027027027,434.084158415842
s17,away,error_rank_6,12.6544117647059,13.8051948051948,1.15078304048892,868.330882352941,900.077922077922,31.7470397249808,144,136,9,9,8,0,4,10,12.6544117647059,13.007874015748,868.330882352941,868.740157480315
s21,away,error_rank_7,14.8425196850394,15.8833333333333,1.04081364829393,650.811023622047,655.691666666667,4.88064304461966,130,127,1,1,3,0,5,16,14.8425196850394,14.7539682539683,650.811023622047,646.563492063492
s19,toward,error_rank_8,12.1328671328671,13.1503759398496,1.01750880698247,518.230769230769,517.676691729323,0.554077501446272,145,143,3,3,2,0,6,7,12.1328671328671,12.2571428571429,518.230769230769,517.171428571429
s14,no,RT_rank_1,19.6582278481013,19.6781609195402,0.0199330714389347,1229.37025316456,1321.22701149425,91.8567583296931,420,316,89,149,104,0,0,0,19.6582278481013,18.3436123348018,1229.37025316456,1200.25110132159
s14,away,RT_rank_2,20.5753424657534,20.8741721854305,0.298829719677073,1247.51369863014,1333.72185430464,86.2081556745029,189,146,21,31,43,0,11,4,20.5753424657534,19.728,1247.51369863014,1216.608
s03,no,RT_rank_3,15.9630872483221,16.771986970684,0.808899722361852,772.006711409396,837.778501628665,65.7717902192691,324,298,46,58,26,0,0,0,15.9630872483221,14.8928571428571,772.006711409396,710.277777777778
s04,no,RT_rank_5,11.5392491467577,12.1157894736842,0.576540326926521,745.453924914676,766.736842105263,21.2829171905872,311,293,17,18,18,0,0,0,11.5392491467577,11.6050724637681,745.453924914676,733.467391304348
s14,toward,RT_rank_6,15.8575342465753,16.0714285714286,0.213894324853259,1069.2602739726,1090.37428571429,21.1140117416871,412,365,25,39,47,0,14,11,15.8575342465753,15.3970588235294,1069.2602739726,1048.75294117647
s18,no,RT_rank_8,16.0728476821192,16.7525562372188,0.679708555099594,924.011037527594,943.026584867076,19.0155473394823,489,453,225,249,36,0,0,0,16.0728476821192,16.6228070175439,924.011037527594,908.09649122807
