subject,session,class_name,cue_side,rt_group,n_trials,n_unusable,unusable_rate,mean_error,mean_RT
s01,1,toward,left,validRT,144,0,0,13.9166666666667,668.534722222222
s01,1,toward,left,trimmedRT,2,0,0,71.5,1804.5
s01,1,toward,right,validRT,141,0,0,11.2340425531915,656.936170212766
s01,1,toward,right,trimmedRT,2,0,0,5.5,1573
s01,1,toward,other,validRT,0,0,NaN,NaN,NaN
s01,1,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s01,1,noMS,left,validRT,24,0,0,9.16666666666667,624.458333333333
s01,1,noMS,left,trimmedRT,3,0,0,14,1546.33333333333
s01,1,noMS,right,validRT,38,0,0,13.4473684210526,677.342105263158
s01,1,noMS,right,trimmedRT,0,0,NaN,NaN,NaN
s01,1,noMS,other,validRT,0,0,NaN,NaN,NaN
s01,1,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s01,1,away,left,validRT,57,0,0,15.1052631578947,614.210526315789
s01,1,away,left,trimmedRT,2,0,0,34.5,2053
s01,1,away,right,validRT,50,0,0,14.96,680.14
s01,1,away,right,trimmedRT,1,0,0,82,1789
s01,1,away,other,validRT,0,0,NaN,NaN,NaN
s01,1,away,other,trimmedRT,0,0,NaN,NaN,NaN
s01,1,tooSmall,left,validRT,65,0,0,12.8923076923077,646.061538461538
s01,1,tooSmall,left,trimmedRT,3,0,0,8.33333333333333,1755
s01,1,tooSmall,right,validRT,66,0,0,12.6060606060606,642.378787878788
s01,1,tooSmall,right,trimmedRT,2,0,0,12,2005.5
s01,1,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s01,1,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s01,1,unclassified,left,validRT,0,0,NaN,NaN,NaN
s01,1,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s01,1,unclassified,right,validRT,0,0,NaN,NaN,NaN
s01,1,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s01,1,unclassified,other,validRT,0,0,NaN,NaN,NaN
s01,1,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s01,2,toward,left,validRT,133,0,0,15.8195488721805,672.368421052632
s01,2,toward,left,trimmedRT,5,0,0,13,1665.8
s01,2,toward,right,validRT,93,0,0,10.4623655913978,685.935483870968
s01,2,toward,right,trimmedRT,1,0,0,19,3134
s01,2,toward,other,validRT,0,0,NaN,NaN,NaN
s01,2,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s01,2,noMS,left,validRT,51,0,0,12.921568627451,526.862745098039
s01,2,noMS,left,trimmedRT,2,1,0.5,41,8825.5
s01,2,noMS,right,validRT,51,0,0,13.8039215686275,649.78431372549
s01,2,noMS,right,trimmedRT,0,0,NaN,NaN,NaN
s01,2,noMS,other,validRT,0,0,NaN,NaN,NaN
s01,2,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s01,2,away,left,validRT,47,0,0,10.5106382978723,524.127659574468
s01,2,away,left,trimmedRT,2,0,0,20.5,1359
s01,2,away,right,validRT,85,0,0,11.8588235294118,652.529411764706
s01,2,away,right,trimmedRT,2,0,0,10,1522.5
s01,2,away,other,validRT,0,0,NaN,NaN,NaN
s01,2,away,other,trimmedRT,0,0,NaN,NaN,NaN
s01,2,tooSmall,left,validRT,60,1,0.0166666666666667,10.6,595.9
s01,2,tooSmall,left,trimmedRT,0,0,NaN,NaN,NaN
s01,2,tooSmall,right,validRT,66,0,0,12.2121212121212,585.772727272727
s01,2,tooSmall,right,trimmedRT,2,0,0,4.5,703.5
s01,2,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s01,2,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s01,2,unclassified,left,validRT,0,0,NaN,NaN,NaN
s01,2,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s01,2,unclassified,right,validRT,0,0,NaN,NaN,NaN
s01,2,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s01,2,unclassified,other,validRT,0,0,NaN,NaN,NaN
s01,2,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s02,1,toward,left,validRT,121,0,0,11.7933884297521,451.198347107438
s02,1,toward,left,trimmedRT,2,0,0,21,735
s02,1,toward,right,validRT,119,1,0.00840336134453781,11.4873949579832,458.025210084034
s02,1,toward,right,trimmedRT,4,0,0,44.25,854.75
s02,1,toward,other,validRT,0,0,NaN,NaN,NaN
s02,1,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s02,1,noMS,left,validRT,66,1,0.0151515151515152,14.969696969697,445.666666666667
s02,1,noMS,left,trimmedRT,2,0,0,34,930
s02,1,noMS,right,validRT,71,2,0.028169014084507,13.9577464788732,439.450704225352
s02,1,noMS,right,trimmedRT,0,0,NaN,NaN,NaN
s02,1,noMS,other,validRT,0,0,NaN,NaN,NaN
s02,1,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s02,1,away,left,validRT,35,0,0,11.1714285714286,418.2
s02,1,away,left,trimmedRT,0,0,NaN,NaN,NaN
s02,1,away,right,validRT,37,0,0,19.4594594594595,422.297297297297
s02,1,away,right,trimmedRT,1,0,0,6,1986
s02,1,away,other,validRT,0,0,NaN,NaN,NaN
s02,1,away,other,trimmedRT,0,0,NaN,NaN,NaN
s02,1,tooSmall,left,validRT,74,2,0.027027027027027,21.0675675675676,444.486486486487
s02,1,tooSmall,left,trimmedRT,0,0,NaN,NaN,NaN
s02,1,tooSmall,right,validRT,67,0,0,15.1492537313433,441.835820895522
s02,1,tooSmall,right,trimmedRT,1,1,1,65,1187
s02,1,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s02,1,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s02,1,unclassified,left,validRT,0,0,NaN,NaN,NaN
s02,1,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s02,1,unclassified,right,validRT,0,0,NaN,NaN,NaN
s02,1,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s02,1,unclassified,other,validRT,0,0,NaN,NaN,NaN
s02,1,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s02,2,toward,left,validRT,136,1,0.00735294117647059,11.0955882352941,453.485294117647
s02,2,toward,left,trimmedRT,3,0,0,32.6666666666667,816.333333333333
s02,2,toward,right,validRT,144,3,0.0208333333333333,10.8194444444444,444.583333333333
s02,2,toward,right,trimmedRT,1,0,0,18,734
s02,2,toward,other,validRT,0,0,NaN,NaN,NaN
s02,2,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s02,2,noMS,left,validRT,48,10,0.208333333333333,12.3125,426.791666666667
s02,2,noMS,left,trimmedRT,1,1,1,1,1141
s02,2,noMS,right,validRT,37,7,0.189189189189189,18.1621621621622,446.702702702703
s02,2,noMS,right,trimmedRT,4,4,1,42.25,831.75
s02,2,noMS,other,validRT,0,0,NaN,NaN,NaN
s02,2,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s02,2,away,left,validRT,57,3,0.0526315789473684,10.4736842105263,426.771929824561
s02,2,away,left,trimmedRT,0,0,NaN,NaN,NaN
s02,2,away,right,validRT,43,2,0.0465116279069767,11.7906976744186,443.162790697674
s02,2,away,right,trimmedRT,1,0,0,74,941
s02,2,away,other,validRT,0,0,NaN,NaN,NaN
s02,2,away,other,trimmedRT,0,0,NaN,NaN,NaN
s02,2,tooSmall,left,validRT,55,2,0.0363636363636364,11.6545454545455,443.981818181818
s02,2,tooSmall,left,trimmedRT,0,0,NaN,NaN,NaN
s02,2,tooSmall,right,validRT,70,5,0.0714285714285714,11.9571428571429,444.8
s02,2,tooSmall,right,trimmedRT,0,0,NaN,NaN,NaN
s02,2,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s02,2,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s02,2,unclassified,left,validRT,0,0,NaN,NaN,NaN
s02,2,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s02,2,unclassified,right,validRT,0,0,NaN,NaN,NaN
s02,2,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s02,2,unclassified,other,validRT,0,0,NaN,NaN,NaN
s02,2,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s03,1,toward,left,validRT,81,5,0.0617283950617284,14.3703703703704,779.061728395062
s03,1,toward,left,trimmedRT,16,1,0.0625,41.5625,4002.375
s03,1,toward,right,validRT,96,1,0.0104166666666667,12.4791666666667,704.135416666667
s03,1,toward,right,trimmedRT,16,4,0.25,43.75,3771.9375
s03,1,toward,other,validRT,0,0,NaN,NaN,NaN
s03,1,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s03,1,noMS,left,validRT,62,7,0.112903225806452,17.5,765.790322580645
s03,1,noMS,left,trimmedRT,7,2,0.285714285714286,22.4285714285714,2912
s03,1,noMS,right,validRT,54,7,0.12962962962963,16,760.888888888889
s03,1,noMS,right,trimmedRT,8,4,0.5,51.875,4148.5
s03,1,noMS,other,validRT,0,0,NaN,NaN,NaN
s03,1,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s03,1,away,left,validRT,72,3,0.0416666666666667,19.2638888888889,799.180555555556
s03,1,away,left,trimmedRT,7,1,0.142857142857143,49.8571428571429,4160.28571428571
s03,1,away,right,validRT,51,2,0.0392156862745098,12.4509803921569,834.803921568627
s03,1,away,right,trimmedRT,20,2,0.1,46.85,4583.1
s03,1,away,other,validRT,0,0,NaN,NaN,NaN
s03,1,away,other,trimmedRT,0,0,NaN,NaN,NaN
s03,1,tooSmall,left,validRT,53,3,0.0566037735849057,23.4905660377358,783.245283018868
s03,1,tooSmall,left,trimmedRT,2,0,0,14.5,2640
s03,1,tooSmall,right,validRT,49,3,0.0612244897959184,15.2448979591837,674.918367346939
s03,1,tooSmall,right,trimmedRT,6,0,0,43.5,4578
s03,1,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s03,1,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s03,1,unclassified,left,validRT,0,0,NaN,NaN,NaN
s03,1,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s03,1,unclassified,right,validRT,0,0,NaN,NaN,NaN
s03,1,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s03,1,unclassified,other,validRT,0,0,NaN,NaN,NaN
s03,1,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s03,2,toward,left,validRT,71,5,0.0704225352112676,17.9859154929577,761.535211267606
s03,2,toward,left,trimmedRT,2,0,0,45,2595
s03,2,toward,right,validRT,74,6,0.0810810810810811,23.4459459459459,732.851351351351
s03,2,toward,right,trimmedRT,7,0,0,37.1428571428571,3427.42857142857
s03,2,toward,other,validRT,0,0,NaN,NaN,NaN
s03,2,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s03,2,noMS,left,validRT,93,14,0.150537634408602,14.9784946236559,780.268817204301
s03,2,noMS,left,trimmedRT,6,3,0.5,16.6666666666667,3547.66666666667
s03,2,noMS,right,validRT,89,18,0.202247191011236,15.8988764044944,774.449438202247
