subject,condition,n_current,n_exclude_unusable,n_removed_unusable_validRT,error_current,error_exclude_unusable,delta_error_exclude_minus_current,rt_current,rt_exclude_unusable,delta_RT_exclude_minus_current
s01,toward,511,511,0,13.0430528375734,13.0430528375734,0,669.499021526419,669.499021526419,0
s01,no,164,164,0,12.7682926829268,12.7682926829268,0,614.237804878049,614.237804878049,0
s01,away,239,239,0,13.0167364016736,13.0167364016736,0,623.916317991632,623.916317991632,0
s02,toward,520,515,5,11.2711538461538,11.221359223301,-0.0497946228528754,451.526923076923,451.801941747573,0.275018670649729
s02,no,222,202,20,14.6036036036036,14.1485148514851,-0.455088752118456,439.77027027027,434.084158415842,-5.6861118544287
s02,away,172,167,5,12.8779069767442,12.940119760479,0.0622127837348572,428.162790697674,425.491017964072,-2.67177273360261
s03,toward,322,305,17,16.6894409937888,16.4262295081967,-0.263211485592102,742.239130434783,722.413114754098,-19.8260156806842
s03,no,298,252,46,15.9630872483221,14.8928571428571,-1.07023010546501,772.006711409396,710.277777777778,-61.7289336316181
s03,away,217,205,12,15.5483870967742,15.409756097561,-0.138630999213218,781.884792626728,769.873170731707,-12.0116218950208
s04,toward,471,467,4,14.4692144373673,14.4132762312634,-0.0559382061039209,788.934182590233,787.541755888651,-1.39242670158251
s04,no,293,276,17,11.5392491467577,11.6050724637681,0.0658233170104356,745.453924914676,733.467391304348,-11.9865336103279
s04,away,137,134,3,16.4525547445255,16.5820895522388,0.129534807713259,814.861313868613,811.029850746269,-3.83146312234453
s06,toward,347,323,24,12.5763688760807,11.4024767801858,-1.17389209589493,704.391930835735,689.600619195046,-14.7913116406885
s06,no,205,179,26,11.7756097560976,10.2905027932961,-1.48510696280147,632.853658536585,605.860335195531,-26.9933233410546
s06,away,255,231,24,15.4666666666667,14.6147186147186,-0.851948051948051,734.549019607843,724.606060606061,-9.94295900178247
s08,toward,308,299,9,11.1233766233766,11.180602006689,0.0572253833123391,726.753246753247,726.42474916388,-0.328497589367203
s08,no,381,372,9,11.0183727034121,11.1048387096774,0.0864660062653471,651.162729658793,648.497311827957,-2.66541783083562
s08,away,143,140,3,12.3496503496504,11.9571428571429,-0.392507492507493,723.286713286713,722.042857142857,-1.24385614385619
s09,toward,415,361,54,9.45060240963855,9.51800554016621,0.0674031305276515,703.265060240964,667.750692520776,-35.5143677201883
s09,no,320,95,225,9.6375,7.91578947368421,-1.72171052631579,837.884375,686.652631578947,-151.231743421053
s09,away,234,205,29,8.11965811965812,8.26829268292683,0.148634563268709,676.098290598291,645.6,-30.4982905982906
s10,toward,176,176,0,14.3806818181818,14.3806818181818,0,776.732954545455,776.732954545455,0
s10,no,451,449,2,14.6164079822616,14.6213808463252,0.00497286406352515,741.911308203991,741.153674832962,-0.757633371028987
s10,away,115,114,1,12.4869565217391,12.4385964912281,-0.048360030511061,766.730434782609,764.280701754386,-2.44973302822268
s11,toward,299,295,4,12.7458193979933,12.6881355932203,-0.0576838047729709,584.615384615385,582.769491525424,-1.8458930899609
s11,no,508,417,91,14.259842519685,13.7841726618705,-0.475669857814536,504.251968503937,502.800959232614,-1.45100927132307
s11,away,165,161,4,14.6121212121212,14.7204968944099,0.108375682288726,547.533333333333,544.583850931677,-2.94948240165627
s12,toward,411,405,6,13.0316301703163,12.9506172839506,-0.0810128863656843,549.321167883212,548.975308641975,-0.34585924123644
s12,no,230,224,6,13.7782608695652,13.5848214285714,-0.193439440993789,542.4,534.830357142857,-7.56964285714287
s12,away,227,223,4,16.0616740088106,16.1838565022422,0.12218249343158,587.515418502203,582.946188340807,-4.56923016139547
s13,toward,372,331,41,22.1908602150538,21.8368580060423,-0.354002209011469,543.948924731183,535.320241691843,-8.62868303933999
s13,no,361,168,193,22.8504155124654,25.922619047619,3.07220353515367,544.576177285319,497.047619047619,-47.5285582376995
s13,away,245,214,31,24.1959183673469,24.3084112149533,0.112492847606333,526.310204081633,521.584112149533,-4.72609193209985
s14,toward,365,340,25,15.8575342465753,15.3970588235294,-0.460475423045931,1069.2602739726,1048.75294117647,-20.5073327961322
s14,no,316,227,89,19.6582278481013,18.3436123348018,-1.3146155132995,1229.37025316456,1200.25110132159,-29.1191518429712
s14,away,146,125,21,20.5753424657534,19.728,-0.847342465753425,1247.51369863014,1216.608,-30.9056986301371
s15,toward,501,479,22,9.73652694610778,9.58872651356994,-0.147800432537846,1071.32734530938,1058.19624217119,-13.1311031381911
s15,no,121,93,28,9.7603305785124,9.63440860215054,-0.125921976361859,1165.33884297521,1078.5376344086,-86.8012085666046
s15,away,171,163,8,11.3216374269006,11.2515337423313,-0.0701036845692968,1059.47368421053,1044.82208588957,-14.6515983209556
s16,toward,210,209,1,17.7714285714286,17.822966507177,0.0515379357484598,611.171428571429,610.153110047847,-1.01831852358168
s16,no,454,444,10,18.1894273127753,17.8153153153153,-0.374111997460012,609.041850220264,606.263513513514,-2.77833670675079
s16,away,123,122,1,16.4715447154472,16.5819672131148,0.110422497667599,586.341463414634,586.450819672131,0.109356257496984
s17,toward,277,276,1,11.2202166064982,11.2536231884058,0.0334065819076024,824.808664259928,822.916666666667,-1.89199759326118
s17,no,431,350,81,11.7146171693736,11.24,-0.47461716937355,840.313225058005,830.054285714286,-10.2589393437189
s17,away,136,127,9,12.6544117647059,13.007874015748,0.353462251042149,868.330882352941,868.740157480315,0.409275127373689
s18,toward,344,322,22,14.1627906976744,13.8478260869565,-0.314964610717897,855.959302325581,843.254658385093,-12.7046439404882
s18,no,453,228,225,16.0728476821192,16.6228070175439,0.549959335424653,924.011037527594,908.09649122807,-15.9145462995236
s18,away,116,89,27,16.301724137931,13.9438202247191,-2.35790391321193,865.560344827586,827.269662921348,-38.2906819062379
s19,toward,143,140,3,12.1328671328671,12.2571428571429,0.124275724275725,518.230769230769,517.171428571429,-1.05934065934071
s19,no,528,514,14,10.4299242424242,10.147859922179,-0.282064320245254,493.986742424242,490.556420233463,-3.43032219077941
s19,away,87,85,2,10.4367816091954,10.4117647058824,-0.0250169033130483,507.011494252874,506.6,-0.411494252873524
s20,toward,280,280,0,12.9964285714286,12.9964285714286,0,563.203571428571,563.203571428571,0
s20,no,401,397,4,9.02992518703242,9.01007556675063,-0.0198496202817893,545.019950124688,544.576826196474,-0.443123928214732
s20,away,223,222,1,14.627802690583,14.6666666666667,0.0388639760837073,570.14798206278,569.648648648649,-0.49933341413157
s21,toward,368,365,3,16.741847826087,16.7534246575342,0.0115768314472895,683.535326086957,681.591780821918,-1.94354526503867
s21,no,331,330,1,17.3957703927492,17.4454545454545,0.0496841527053,727.474320241692,725.178787878788,-2.29553236290405
s21,away,127,126,1,14.8425196850394,14.7539682539683,-0.0885514310711155,650.811023622047,646.563492063492,-4.24753155855524
s22,toward,467,466,1,8.60599571734475,8.60085836909871,-0.00513734824604128,674.441113490364,674.50643776824,0.0653242778762433
s22,no,178,178,0,8.52808988764045,8.52808988764045,0,608.101123595506,608.101123595506,0
s22,away,234,234,0,11.4444444444444,11.4444444444444,0,633.119658119658,633.119658119658,0
s23,toward,234,234,0,9.0042735042735,9.0042735042735,0,544.491452991453,544.491452991453,0
s23,no,350,343,7,10.1228571428571,10.1720116618076,0.0491545189504379,559.731428571429,552.425655976676,-7.30577259475217
s23,away,149,149,0,11.0671140939597,11.0671140939597,0,518.912751677852,518.912751677852,0
s24,toward,291,279,12,23.8178694158076,23.0860215053763,-0.731847910431217,1006.35395189003,993.587813620072,-12.7661382699628
s24,no,263,223,40,27.2395437262357,25.1928251121076,-2.04671861412812,1036.88593155894,1003.67264573991,-33.2132858190251
s24,away,173,162,11,23.1965317919075,22.5308641975309,-0.66566759437665,1153.28323699422,1141.6049382716,-11.6782987226147
s25,toward,424,422,2,9.17452830188679,9.17061611374408,-0.00391218814271532,786.382075471698,785.184834123223,-1.19724134847536
s25,no,282,267,15,9.86170212765957,9.82771535580524,-0.0339867718543321,715.989361702128,706.179775280899,-9.8095864212288
s25,away,172,171,1,8.86046511627907,8.89473684210526,0.0342717258261942,735.145348837209,734.590643274854,-0.55470556235548
