measure,policy,contrast,mean_diff,sd_diff,se_diff,t_value,p_raw,p_bonf3,n
error,current_keep_unusable,toward-no,-0.374756354742336,1.81034594249191,0.377483223439304,-0.992776185727875,0.331613545251361,0.994840635754082,23
error,current_keep_unusable,toward-away,-0.904088749754484,1.8580572524988,0.387431719289286,-2.33354344712138,0.0291591204772668,0.0874773614318003,23
error,current_keep_unusable,no-away,-0.529332395012148,2.3554285643389,0.491140806946424,-1.07776097511256,0.292816673002631,0.878450019007893,23
error,exclude_unusable,toward-no,-0.251251125940442,1.94277904141473,0.405097433462959,-0.620223939195645,0.54148231539533,1,23
error,exclude_unusable,toward-away,-0.864465649697282,1.87712289195664,0.39140717992946,-2.20860958619379,0.0379222166831258,0.113766650049377,23
error,exclude_unusable,no-away,-0.61321452375684,2.38738366670754,0.497803906392954,-1.23183951729134,0.231013851186231,0.693041553558693,23
RT,current_keep_unusable,toward-no,-1.3643388505633,65.8227488106099,13.7249918998703,-0.0994054393996539,0.921716613767707,1,23
RT,current_keep_unusable,toward-away,-6.78726070075788,56.8292840757991,11.8497248703483,-0.572777914678991,0.572603172759161,1,23
RT,current_keep_unusable,no-away,-5.42292185019458,64.0251882990305,13.3501746230662,-0.406206061216977,0.688515342643404,1,23
RT,exclude_unusable,toward-no,14.7407194196102,54.6130086755241,11.3875995038708,1.2944536216434,0.208931597532738,0.626794792598213,23
RT,exclude_unusable,toward-away,-5.61061553935492,56.0149608414361,11.679926738282,-0.480363932503584,0.635710678029456,1,23
RT,exclude_unusable,no-away,-20.3513349589652,54.3874758913583,11.3405726675299,-1.79455972423992,0.0864782383899065,0.259434715169719,23
