subject,trial_index,session,cue_side,class_name,valid_RT,sel_unusable,nan_x_0_600,nan_y_0_600,nan_xy_0_600,nan_x_200_600,sel_tooSmallMS,sel_unclassified,RT,error
s01,1,1,left,toward,1,0,0,0,0,0,0,0,714,10
s01,2,1,left,toward,1,0,0,0,0,0,0,0,739,5
s01,3,1,right,toward,1,0,0,0,0,0,0,0,427,49
s01,4,1,left,toward,1,0,0,0,0,0,0,0,682,3
s01,5,1,left,toward,1,0,0,0,0,0,0,0,564,10
s01,6,1,right,noMS,1,0,0,0,0,0,0,0,503,22
s01,7,1,right,toward,1,0,0,0,0,0,0,0,525,10
s01,8,1,left,toward,1,0,0,0,0,0,0,0,635,8
s01,9,1,left,toward,1,0,0,0,0,0,0,0,1061,12
s01,10,1,right,toward,1,0,0,0,0,0,0,0,691,15
s01,11,1,right,toward,1,0,0,0,0,0,0,0,533,20
s01,12,1,right,noMS,1,0,0,0,0,0,0,0,698,9
s01,13,1,right,tooSmall,1,0,0,0,0,0,1,0,444,2
s01,14,1,right,toward,1,0,0,0,0,0,0,0,643,5
s01,15,1,right,toward,1,0,0,0,0,0,0,0,430,86
s01,16,1,left,toward,1,0,0,0,0,0,0,0,914,25
s01,17,1,right,toward,1,0,0,0,0,0,0,0,785,2
s01,18,1,right,tooSmall,1,0,0,0,0,0,1,0,463,9
s01,19,1,right,toward,1,0,0,0,0,0,0,0,522,21
s01,20,1,right,away,1,0,0,0,0,0,0,0,806,13
s01,21,1,left,toward,1,0,0,0,0,0,0,0,391,74
s01,22,1,left,tooSmall,1,0,0,0,0,0,1,0,829,22
s01,23,1,right,tooSmall,1,0,0,0,0,0,1,0,693,5
s01,24,1,right,noMS,1,0,0,0,0,0,0,0,893,7
s01,25,1,left,toward,1,0,0,0,0,0,0,0,546,1
s01,26,1,left,away,1,0,0,0,0,0,0,0,1172,4
s01,27,1,right,tooSmall,1,0,0,0,0,0,1,0,631,4
s01,28,1,left,tooSmall,1,0,0,0,0,0,1,0,531,12
s01,29,1,right,tooSmall,1,0,0,0,0,0,1,0,726,24
s01,30,1,right,noMS,1,0,0,0,0,0,0,0,614,0
s01,31,1,left,tooSmall,1,0,0,0,0,0,1,0,423,1
s01,32,1,left,tooSmall,1,0,0,0,0,0,1,0,773,12
s01,33,1,right,away,1,0,0,0,0,0,0,0,435,5
s01,34,1,right,toward,1,0,0,0,0,0,0,0,836,11
s01,35,1,left,toward,1,0,0,0,0,0,0,0,602,19
s01,36,1,right,toward,1,0,0,0,0,0,0,0,483,6
s01,37,1,left,toward,1,0,0,0,0,0,0,0,340,6
s01,38,1,right,away,1,0,0,0,0,0,0,0,612,18
s01,39,1,left,toward,1,0,0,0,0,0,0,0,522,9
